File,Total Time (minutes),Coding,Debugging,Testing,FC Flow Complexity,OV Object Vocabulary,OC Object Conjuration,AI Arithmetic Intricacy,DT Data Transfer,CM Comments,CS Code Structure,ID Inline Data,
C:\Users\nikro\AndroidStudioProjects\EleGlance\app\build\generated\source\buildConfig\androidTest\debug\com\events\example\eleglance\test\BuildConfig.java,196,105,54,36,0,144,33,0,6,0,10,1,
C:\Users\nikro\AndroidStudioProjects\EleGlance\app\build\generated\source\buildConfig\debug\com\events\example\eleglance\BuildConfig.java,187,100,52,34,0,136,33,0,6,0,9,1,
C:\Users\nikro\AndroidStudioProjects\EleGlance\app\build\generated\source\buildConfig\release\com\events\example\eleglance\BuildConfig.java,169,91,47,31,0,119,34,0,5,0,8,1,
C:\Users\nikro\AndroidStudioProjects\EleGlance\app\build\generated\source\r\androidTest\debug\android\app\R.java,38,21,10,6,0,25,5,0,0,1,6,0,
C:\Users\nikro\AndroidStudioProjects\EleGlance\app\build\generated\source\r\androidTest\debug\android\support\test\espresso\idling\R.java,65,36,17,11,0,51,5,0,0,1,7,0,
C:\Users\nikro\AndroidStudioProjects\EleGlance\app\build\generated\source\r\androidTest\debug\android\support\test\espresso\R.java,95,52,26,17,0,68,14,0,0,1,10,0,
C:\Users\nikro\AndroidStudioProjects\EleGlance\app\build\generated\source\r\androidTest\debug\android\support\test\R.java,47,26,12,8,0,34,5,0,0,1,6,0,
C:\Users\nikro\AndroidStudioProjects\EleGlance\app\build\generated\source\r\androidTest\debug\android\support\test\rule\R.java,95,52,26,17,0,68,14,0,0,1,10,0,
C:\Users\nikro\AndroidStudioProjects\EleGlance\app\build\generated\source\r\androidTest\debug\com\events\example\eleglance\test\R.java,121,65,33,22,0,85,20,0,0,1,13,0,
C:\Users\nikro\AndroidStudioProjects\EleGlance\app\build\generated\source\r\debug\android\support\compat\R.java,47,26,12,8,0,34,5,0,0,1,6,0,
C:\Users\nikro\AndroidStudioProjects\EleGlance\app\build\generated\source\r\debug\android\support\constraint\R.java,1013,527,289,196,0,552,324,0,60,1,46,27,
C:\Users\nikro\AndroidStudioProjects\EleGlance\app\build\generated\source\r\debug\android\support\coreui\R.java,47,26,12,8,0,34,5,0,0,1,6,0,
C:\Users\nikro\AndroidStudioProjects\EleGlance\app\build\generated\source\r\debug\android\support\coreutils\R.java,47,26,12,8,0,34,5,0,0,1,6,0,
C:\Users\nikro\AndroidStudioProjects\EleGlance\app\build\generated\source\r\debug\android\support\design\R.java,29219,15023,8447,5748,372,15521,9776,0,1873,1,940,735,
C:\Users\nikro\AndroidStudioProjects\EleGlance\app\build\generated\source\r\debug\android\support\fragment\R.java,47,26,12,8,0,34,5,0,0,1,6,0,
C:\Users\nikro\AndroidStudioProjects\EleGlance\app\build\generated\source\r\debug\android\support\graphics\drawable\animated\R.java,65,36,17,11,0,51,5,0,0,1,7,0,
C:\Users\nikro\AndroidStudioProjects\EleGlance\app\build\generated\source\r\debug\android\support\graphics\drawable\R.java,56,31,15,9,0,42,5,0,0,1,7,0,
C:\Users\nikro\AndroidStudioProjects\EleGlance\app\build\generated\source\r\debug\android\support\mediacompat\R.java,47,26,12,8,0,34,5,0,0,1,6,0,
C:\Users\nikro\AndroidStudioProjects\EleGlance\app\build\generated\source\r\debug\android\support\transition\R.java,102,55,28,18,0,68,20,0,1,1,10,0,
C:\Users\nikro\AndroidStudioProjects\EleGlance\app\build\generated\source\r\debug\android\support\v4\R.java,47,26,12,8,0,34,5,0,0,1,6,0,
C:\Users\nikro\AndroidStudioProjects\EleGlance\app\build\generated\source\r\debug\android\support\v7\appcompat\R.java,22968,11817,6634,4517,372,12214,7669,0,1417,1,720,573,
C:\Users\nikro\AndroidStudioProjects\EleGlance\app\build\generated\source\r\debug\android\support\v7\recyclerview\R.java,372,193,106,72,0,212,105,0,18,1,27,6,
C:\Users\nikro\AndroidStudioProjects\EleGlance\app\build\generated\source\r\debug\com\events\example\eleglance\Manifest.java,95,52,26,17,0,68,14,0,0,1,10,0,
C:\Users\nikro\AndroidStudioProjects\EleGlance\app\build\generated\source\r\debug\com\events\example\eleglance\R.java,39481,21959,10420,7101,372,19150,12241,0,2292,3399,1128,896,
C:\Users\nikro\AndroidStudioProjects\EleGlance\app\build\generated\source\r\debug\com\google\android\gms\auth\api\R.java,74,41,20,12,0,59,5,0,0,1,8,0,
C:\Users\nikro\AndroidStudioProjects\EleGlance\app\build\generated\source\r\debug\com\google\android\gms\auth\R.java,65,36,17,11,0,51,5,0,0,1,7,0,
C:\Users\nikro\AndroidStudioProjects\EleGlance\app\build\generated\source\r\debug\com\google\android\gms\base\R.java,58,32,15,10,0,42,6,0,0,1,7,0,
C:\Users\nikro\AndroidStudioProjects\EleGlance\app\build\generated\source\r\debug\com\google\android\gms\measurement\impl\R.java,74,41,20,12,0,59,5,0,0,1,8,0,
C:\Users\nikro\AndroidStudioProjects\EleGlance\app\build\generated\source\r\debug\com\google\android\gms\measurement\R.java,65,36,17,11,0,51,5,0,0,1,7,0,
C:\Users\nikro\AndroidStudioProjects\EleGlance\app\build\generated\source\r\debug\com\google\android\gms\R.java,1429,738,409,281,0,765,485,0,81,1,66,28,
C:\Users\nikro\AndroidStudioProjects\EleGlance\app\build\generated\source\r\debug\com\google\android\gms\tasks\R.java,65,36,17,11,0,51,5,0,0,1,7,0,
C:\Users\nikro\AndroidStudioProjects\EleGlance\app\build\generated\source\r\debug\com\google\firebase\auth\api\R.java,65,36,17,11,0,51,5,0,0,1,7,0,
C:\Users\nikro\AndroidStudioProjects\EleGlance\app\build\generated\source\r\debug\com\google\firebase\crash\R.java,56,31,15,9,0,42,5,0,0,1,7,0,
C:\Users\nikro\AndroidStudioProjects\EleGlance\app\build\generated\source\r\debug\com\google\firebase\database\connection\R.java,65,36,17,11,0,51,5,0,0,1,7,0,
C:\Users\nikro\AndroidStudioProjects\EleGlance\app\build\generated\source\r\debug\com\google\firebase\database\R.java,56,31,15,9,0,42,5,0,0,1,7,0,
C:\Users\nikro\AndroidStudioProjects\EleGlance\app\build\generated\source\r\debug\com\google\firebase\firebase_core\R.java,56,31,15,9,0,42,5,0,0,1,7,0,
C:\Users\nikro\AndroidStudioProjects\EleGlance\app\build\generated\source\r\debug\com\google\firebase\iid\R.java,56,31,15,9,0,42,5,0,0,1,7,0,
C:\Users\nikro\AndroidStudioProjects\EleGlance\app\build\generated\source\r\debug\com\google\firebase\messaging\R.java,56,31,15,9,0,42,5,0,0,1,7,0,
C:\Users\nikro\AndroidStudioProjects\EleGlance\app\build\generated\source\r\debug\com\google\firebase\R.java,47,26,12,8,0,34,5,0,0,1,6,0,
C:\Users\nikro\AndroidStudioProjects\EleGlance\app\build\generated\source\r\debug\com\google\firebase\remoteconfig\R.java,56,31,15,9,0,42,5,0,0,1,7,0,
C:\Users\nikro\AndroidStudioProjects\EleGlance\app\build\generated\source\r\debug\com\google\firebase\storage\R.java,56,31,15,9,0,42,5,0,0,1,7,0,
C:\Users\nikro\AndroidStudioProjects\EleGlance\app\build\generated\source\r\debug\de\hdodenhof\circleimageview\R.java,205,106,59,39,0,119,52,0,11,1,18,3,
C:\Users\nikro\AndroidStudioProjects\EleGlance\app\build\generated\source\r\release\android\support\compat\R.java,47,26,12,8,0,34,5,0,0,1,6,0,
C:\Users\nikro\AndroidStudioProjects\EleGlance\app\build\generated\source\r\release\android\support\constraint\R.java,1013,527,289,196,0,552,324,0,60,1,46,27,
C:\Users\nikro\AndroidStudioProjects\EleGlance\app\build\generated\source\r\release\android\support\coreui\R.java,47,26,12,8,0,34,5,0,0,1,6,0,
C:\Users\nikro\AndroidStudioProjects\EleGlance\app\build\generated\source\r\release\android\support\coreutils\R.java,47,26,12,8,0,34,5,0,0,1,6,0,
C:\Users\nikro\AndroidStudioProjects\EleGlance\app\build\generated\source\r\release\android\support\design\R.java,29219,15023,8447,5748,372,15521,9776,0,1873,1,940,735,
C:\Users\nikro\AndroidStudioProjects\EleGlance\app\build\generated\source\r\release\android\support\fragment\R.java,47,26,12,8,0,34,5,0,0,1,6,0,
C:\Users\nikro\AndroidStudioProjects\EleGlance\app\build\generated\source\r\release\android\support\graphics\drawable\animated\R.java,65,36,17,11,0,51,5,0,0,1,7,0,
C:\Users\nikro\AndroidStudioProjects\EleGlance\app\build\generated\source\r\release\android\support\graphics\drawable\R.java,56,31,15,9,0,42,5,0,0,1,7,0,
C:\Users\nikro\AndroidStudioProjects\EleGlance\app\build\generated\source\r\release\android\support\mediacompat\R.java,47,26,12,8,0,34,5,0,0,1,6,0,
C:\Users\nikro\AndroidStudioProjects\EleGlance\app\build\generated\source\r\release\android\support\transition\R.java,102,55,28,18,0,68,20,0,1,1,10,0,
C:\Users\nikro\AndroidStudioProjects\EleGlance\app\build\generated\source\r\release\android\support\v4\R.java,47,26,12,8,0,34,5,0,0,1,6,0,
C:\Users\nikro\AndroidStudioProjects\EleGlance\app\build\generated\source\r\release\android\support\v7\appcompat\R.java,22968,11817,6634,4517,372,12214,7669,0,1417,1,720,573,
C:\Users\nikro\AndroidStudioProjects\EleGlance\app\build\generated\source\r\release\android\support\v7\recyclerview\R.java,372,193,106,72,0,212,105,0,18,1,27,6,
C:\Users\nikro\AndroidStudioProjects\EleGlance\app\build\generated\source\r\release\com\events\example\eleglance\Manifest.java,95,52,26,17,0,68,14,0,0,1,10,0,
C:\Users\nikro\AndroidStudioProjects\EleGlance\app\build\generated\source\r\release\com\events\example\eleglance\R.java,39481,21959,10420,7101,372,19150,12241,0,2292,3399,1128,896,
C:\Users\nikro\AndroidStudioProjects\EleGlance\app\build\generated\source\r\release\com\google\android\gms\auth\api\R.java,74,41,20,12,0,59,5,0,0,1,8,0,
